impressions,budget,start_month,end_month,start_week,end_week,days,region,category,facebook,instagram,google_search,google_display
9586,600,7,8,29,31,14,germany,other,0,0,1,0
10678,100,2,2,6,8,15,germany,comedy,1,0,1,0
18277,100,8,9,34,39,37,germany,concert,0,0,1,0
18446,100,2,3,7,10,21,switzerland,,1,0,0,0
19691,100,2,3,7,10,22,switzerland,,1,0,0,0
20573,200,7,7,28,29,8,germany,comedy,1,0,0,0
23139,300,6,7,24,27,23,germany,conference,1,0,1,0
25000,200,4,5,17,20,21,germany,concert,1,0,1,0
25017,100,2,4,9,15,44,germany,festival,1,0,0,0
25062,100,10,12,43,51,56,germany,concert,1,0,0,0
25084,200,10,11,41,45,29,germany,theatre,1,1,0,0
25127,200,10,12,43,51,56,germany,concert,1,0,0,0
25210,200,10,12,43,51,56,germany,concert,1,0,0,0
25478,200,6,6,23,26,23,germany,concert,1,1,1,0
25855,100,11,11,44,46,16,germany,concert,1,0,0,0
25855,200,10,12,43,51,56,germany,concert,1,0,0,0
25894,100,9,10,38,43,32,austria,festival,0,0,1,0
26146,100,10,11,43,46,18,germany,conference,1,0,1,0
26815,100,9,11,36,46,70,germany,comedy,1,1,0,0
28203,200,8,10,35,40,32,germany,concert,1,1,0,0
28639,200,12,12,48,50,15,germany,concert,1,0,0,0
28696,200,1,2,4,9,36,germany,conference,1,0,0,0
33053,100,12,12,49,52,21,switzerland,theatre,1,0,0,0
33510,400,11,12,45,52,53,germany,theatre,1,0,1,0
34265,300,11,11,44,46,13,germany,comedy,1,1,0,0
38030,300,10,11,44,48,31,switzerland,concert,1,0,0,0
40265,400,3,4,11,14,25,germany,concert,1,0,1,0
40969,100,4,4,13,18,29,germany,festival,1,0,0,0
42621,200,11,12,48,51,24,germany,comedy,1,1,1,0
43133,300,11,11,45,48,20,germany,concert,1,1,0,0
43525,100,12,12,49,50,8,germany,comedy,1,0,0,0
45573,300,3,4,11,15,24,switzerland,concert,1,0,0,0
48317,400,1,5,2,22,142,germany,festival,1,0,1,0
49105,300,6,10,22,41,132,germany,concert,1,0,0,0
50005,300,8,9,33,37,31,germany,concert,1,1,0,0
50047,200,8,10,33,40,49,germany,concert,1,1,1,0
50072,200,10,10,40,42,14,germany,concert,1,1,1,0
50155,300,8,10,33,40,45,germany,concert,1,1,1,0
50181,200,11,12,47,51,28,germany,comedy,1,0,0,0
50473,300,3,3,11,13,14,germany,concert,1,0,0,0
50485,300,4,5,16,19,27,germany,concert,1,0,1,0
50496,300,6,6,23,26,22,germany,concert,1,0,1,0
50537,300,9,10,39,42,23,germany,concert,1,1,0,0
50603,200,10,11,41,45,30,austria,theatre,1,1,1,0
51144,200,10,11,43,46,18,germany,conference,1,0,1,0
51444,300,12,1,50,3,33,germany,concert,1,0,0,0
51464,300,3,3,9,13,30,germany,concert,1,1,0,0
51854,300,2,4,9,16,48,switzerland,festival,1,0,0,0
51876,200,10,11,43,46,18,germany,conference,1,0,1,0
52060,300,7,7,27,31,29,germany,concert,1,1,1,0
52243,300,11,11,45,48,19,germany,concert,1,0,0,0
52266,200,11,11,45,47,15,germany,concert,1,1,1,0
53475,300,4,5,15,18,23,germany,concert,1,1,0,0
53628,200,12,12,49,50,8,germany,comedy,1,0,0,0
58009,400,11,11,44,47,17,germany,conference,1,1,1,0
61743,200,3,3,11,12,11,germany,concert,1,1,0,0
63704,200,10,11,40,48,59,germany,conference,1,0,1,0
64974,300,1,2,2,6,28,switzerland,theatre,1,0,0,0
65413,400,12,1,49,4,55,germany,concert,1,1,1,0
66099,400,11,12,45,52,47,switzerland,concert,1,0,0,0
66676,300,1,3,4,12,59,switzerland,comedy,1,1,0,0
67113,400,10,11,42,45,22,germany,other,1,1,1,0
67264,300,1,2,5,7,12,switzerland,concert,1,1,0,0
67316,300,11,12,48,52,27,switzerland,theatre,1,0,0,0
68232,400,11,12,48,52,27,switzerland,festival,1,0,0,0
68467,400,4,5,17,18,6,germany,festival,1,1,1,0
69687,400,12,12,49,52,16,switzerland,concert,1,0,0,0
70238,500,3,4,11,14,21,switzerland,concert,1,0,1,0
70645,400,10,11,41,48,46,switzerland,comedy,1,1,0,0
73083,500,9,10,37,40,17,switzerland,conference,1,1,1,0
