cost_per_click,start_date,end_date,total_budget,start_month,end_month,campaign_phase,days,region,locality,num_events,category,shop,tracking,ticket_capacity,average_ticket_price,facebook,instagram,google_search,google_display,twitter,facebook_likes,facebook_interest,instagram_interest,google_search_volume,twitter_interest
0.1533,180401.00,180527.00,9985.00,4.00,5.00,2.00,56.00,germany,single,,music,wlec,pu,30000.00,45.00,1.00,1.00,1.00,0.00,0.00,250.00,840000.00,510000.00,33000.00,180000.00
0.4674,180524.00,180612.00,348.00,5.00,6.00,2.00,19.00,switzerland,single,,music,starticket,no,3500.00,40.00,1.00,0.00,1.00,0.00,0.00,15000.00,330000.00,100000.00,1000.00,75000.00
0.1875,171205.00,171213.00,250.00,12.00,12.00,1.00,8.00,germany,single,,comedy,custom,no,1000.00,30.00,1.00,0.00,1.00,0.00,0.00,31000.00,110000.00,90000.00,880.00,
0.5121,180111.00,180210.00,500.00,1.00,2.00,2.00,30.00,usa,single,,conference,custom,no,1000.00,,1.00,1.00,0.00,1.00,1.00,30000.00,,,,
0.1058,180901.00,181231.00,8523.50,9.00,12.00,2.00,121.00,germany,multiple,55.00,comedy,stagelink,pv,235000.00,35.00,1.00,1.00,1.00,0.00,0.00,630000.00,570000.00,350000.00,90000.00,300000.00
0.0750,190101.00,190131.00,921.99,1.00,1.00,3.00,30.00,germany,multiple,55.00,comedy,stagelink,pv,235000.00,35.00,1.00,0.00,1.00,0.00,0.00,630000.00,570000.00,350000.00,90000.00,300000.00
0.2200,180215.00,180309.00,208.50,2.00,3.00,1.00,22.00,switzerland,single,,music,actnews,no,3500.00,55.00,1.00,1.00,0.00,0.00,0.00,12000.00,,,,
0.1898,180215.00,180308.00,221.50,2.00,3.00,1.00,21.00,switzerland,single,,music,actnews,no,3500.00,55.00,1.00,1.00,0.00,0.00,0.00,12000.00,,,,
0.1504,180409.00,180610.00,1500.00,4.00,6.00,1.00,62.00,germany,single,,music,eventbrite,pv,3000.00,25.00,1.00,1.00,1.00,0.00,0.00,8000.00,1600000.00,830000.00,180000.00,760000.00
0.1492,180813.00,181001.00,3500.00,8.00,10.00,2.00,49.00,switzerland,single,,musical,showare,pu,16000.00,40.00,1.00,1.00,1.00,1.00,1.00,4400.00,,,,
