cost per click,start date,start month,end date,end month,days,budget,country,region,events,content,shop,facebook likes,facebook interest,instagram likes,instagram interest,google search,twitter interest
0.2429,43160.00,3.00,43190.00,3.00,30.00,2015.00,germany,local,1.00,music,white label,250.00,840000.00,180.00,510000.00,33000.00,180000.00
0.1533,43191.00,4.00,43247.00,5.00,56.00,9985.00,germany,local,1.00,music,white label,250.00,840000.00,180.00,510000.00,33000.00,180000.00
0.4057,43229.00,5.00,43243.00,5.00,14.00,481.24,switzerland,local,1.00,music,ticketcorner,15000.00,330000.00,9000.00,100000.00,1000.00,75000.00
0.4674,43244.00,5.00,43263.00,6.00,19.00,348.00,switzerland,local,1.00,music,ticketcorner,15000.00,330000.00,9000.00,100000.00,1000.00,75000.00
0.1875,43074.00,12.00,43082.00,12.00,8.00,250.00,germany,local,1.00,comedy,eventim,31000.00,110000.00,19000.00,90000.00,880.00,0.00
0.1025,43235.00,5.00,43281.00,6.00,46.00,10000.00,germany,tour,70.00,comedy,stagelink,630000.00,570000.00,380000.00,350000.00,90000.00,300000.00
0.1151,43282.00,7.00,43314.00,8.00,32.00,800.00,germany,tour,70.00,comedy,stagelink,630000.00,570000.00,380000.00,350000.00,90000.00,300000.00
0.1485,43326.00,8.00,43343.00,8.00,17.00,1000.00,germany,tour,70.00,comedy,stagelink,630000.00,570000.00,380000.00,350000.00,90000.00,300000.00
0.1221,43344.00,9.00,43373.00,9.00,29.00,2500.00,germany,tour,70.00,comedy,stagelink,630000.00,570000.00,380000.00,350000.00,90000.00,300000.00
0.1504,43199.00,4.00,43261.00,6.00,62.00,1500.00,germany,local,1.00,music,eventbrite,8000.00,1600000.00,5800.00,830000.00,180000.00,760000.00
0.5146,43125.00,1.00,43184.00,3.00,59.00,666.00,switzerland,local,1.00,comedy,ticketcorner,1000000.00,150000.00,850000.00,80000.00,10000.00,15000.00
0.1183,43138.00,2.00,43159.00,2.00,21.00,1000.00,germany,tour,4.00,music,reservix,73000.00,3000000.00,520000.00,1800000.00,25000.00,35000.00
