cost_per_impression,start_date,end_date,total_budget,start_month,end_month,campaign_phase,days,region,locality,num_events,category,shop,tracking,ticket_capacity,average_ticket_price,facebook,instagram,google_search,google_display,twitter,facebook_likes,facebook_interest,instagram_interest,google_search_volume,twitter_interest
0.0050,180301.00,180331.00,2015.00,3.00,3.00,1.00,30.00,germany,single,,music,wlec,pu,30000.00,45.00,1.00,1.00,1.00,1.00,1.00,250.00,840000.00,510000.00,33000.00,180000.00
0.0035,180509.00,180523.00,481.24,5.00,5.00,1.00,14.00,switzerland,single,,music,starticket,no,3500.00,40.00,1.00,1.00,1.00,0.00,0.00,15000.00,330000.00,100000.00,1000.00,75000.00
0.0043,180416.00,180513.00,500.00,4.00,5.00,1.00,27.00,germany,single,,music,reservix,pv,5000.00,40.00,1.00,1.00,1.00,0.00,0.00,2000.00,,,,
0.0039,171114.00,180131.00,900.00,11.00,1.00,1.00,78.00,austria,multiple,,music,stagelink,pv,,,1.00,1.00,0.00,0.00,0.00,1100000.00,,,,
0.0025,171114.00,180103.00,200.00,11.00,1.00,1.00,50.00,belgium,multiple,,music,stagelink,pv,,,1.00,1.00,0.00,0.00,0.00,1100000.00,,,,
0.0015,171114.00,180103.00,100.00,11.00,1.00,1.00,50.00,czech republic,multiple,,music,stagelink,pv,,,1.00,1.00,0.00,0.00,0.00,1100000.00,,,,
0.0059,180119.00,180130.00,300.00,1.00,1.00,2.00,11.00,germany,multiple,,music,stagelink,pv,5000.00,35.00,1.00,1.00,0.00,0.00,0.00,1100000.00,,,,
0.0036,171114.00,180109.00,5400.00,11.00,1.00,1.00,56.00,germany,multiple,,music,stagelink,pv,5000.00,35.00,1.00,1.00,1.00,0.00,0.00,1100000.00,,,,
0.0015,171114.00,180103.00,100.00,11.00,1.00,1.00,50.00,hungary,multiple,,music,stagelink,pv,,,1.00,1.00,0.00,0.00,0.00,1100000.00,,,,
0.0015,171114.00,180103.00,100.00,11.00,1.00,1.00,50.00,ireland,multiple,,music,stagelink,pv,,,1.00,1.00,0.00,0.00,0.00,1100000.00,,,,
